,,dRICH config,,,,Beam,,,,,Firmware,,SiPM status,,Run,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,radiator gas,mirror (mm),rad. aerogel,mirror (mm),Status,Polarity,Collimators,GeV,Trigger,Imaging,Timing,Temperature (C),Bias Voltage (V),Calibration,DCR scan,Physics,N spills,GEM,Triggers,Quality,Archived,Notes,,,,,,,,,,,,,,,,,,,
date of the runbook entry,time of the run book entry ,,,,position of the dRICH aerogel mirror along Z xaxis,"beam status, wheather beam is ON or OFF",the polarity of the beam,,the momentum of the beam,,the firmware used for the KC705s on the imaging readout (all but 200),the firmware use for the KC705 for the timing readout (200),"the setpoint temperature, use notes for exceptions",the bias voltage,run name of the baselne calibration run as received on Telegram message,run name of the DCR scan as received on Telegram message,,number of spills collected in the run,,,"the quality of the run has to be stated, if good bad or some warnings ",,,,,,,,,,,,,,,,,,,,,
26/05/2024,morning,,,"aerogel 1.02
2x 2 cm tiles
AG22-J001 (1.021)
AG22-J003 (1.0207)
side B",75,off,negative,,11.5,"193: Luca-and-16x10
194: Luca-GEM",dual-ext-std-tb2024-base.02,single-ext-std-tb2024-base.02,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,20240526-130232,,,,,,,,baseline problems with kc705-199 chip-1 lane-3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,20240526-140313,,,,,,,,"only on kc705-199, still problems as above",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,20240526-141034,,,,,,,,"again, only on kc705-199, manually edited",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,53,,20240526-143658,,,,,,,"test DCR scan, looks ok",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,45,,,,,,,,,,,,20240527-001117,10,,,good,,,,,,,,,,,,,,,,,,,,,
,night,,,,50,,,,,,,,,,,,,,,,,,MOMENTUM SCAN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/05/2024,morning,,,,50,on,negative,12,11.5,,,,,,,,20240527-105518,10,,,good,,"mirror scan, again at 50 with -11.5 GeV/c",,,,,,,,,,,,,,,,,,,
,,,,,20,,,,,,,,,,,,20240527-110422,10,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,10,,,,,,,,,,,,20240527-111009,10,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,0,,,,,,,,,,,,20240527-111636,10,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,110,,,,,,,,,,,,20240527-112432,10,,,good,,,,,,,,,,,,,,,,,,,,,
,,,,,120,,,,,,,,,,,,20240527-112432,10,,,bad,,Power cut,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,timing backside trips on ALCOR digital,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"excluded chip-2 of kc705-200, which is timing back",,,,,,,,,,,,,,,,,,,
,,,,,,off,,,,,,,,,,,20240527-134015,5,,,bad,,TEST run to restart,,,,,,,,,,,,,,,,,,,
,,,,,,off,,,,,,,,,,,20240527-134825,5,,,bad,,TEST run to restart: waiting for temperature to stabilize,,,,,,,,,,,,,,,,,,,
,,,,,,off,,,,,,,,,,,20240527-135253,10,,,bad,,TEST run to restart: waiting for temperature to stabilize,,,,,,,,,,,,,,,,,,,
