# file created on Thu Aug  1 09:43:55 2024
# Date,  Time,  radiator gas,  mirror (mm),  rad. aerogel,  mirror (mm),  Status,  Polarity,  Collimators,  GeV,  Trigger,  Imaging,  Timing,  Temperature (C),  Bias Voltage (V),  Calibration,  DCR scan,  Physics,  N spills,  GEM,  Triggers,  Quality,  Archived,  Notes,  
norun,  "PDU1: 53,  C4F10 (1.0014),  -20,  "2x aerogel tiles: AG22-J001 (1.021),  "aerogel mirror = 20 mm,  on,  negative,  12,  11.5,  "193: Luca-and-16x10,  -,  -,  "PDU1: -40,  6,  1986,  1000,  20240604-210538,  0,  0,  0,  good,  -,  First test after re-mounting -> GEM did not start properly: cards enabled 0,  empty",  ,  ,  ,  ,  
norun,  "PDU1: 53,  C4F10 (1.0014),  -20,  "2x aerogel tiles: AG22-J001 (1.021),  "aerogel mirror = 20 mm,  on,  negative,  12,  11.5,  "193: Luca-and-16x10,  -,  -,  "PDU1: -40,  6,  1986,  1000,  20240604-210538,  0,  0,  0,  good,  -,  First test after re-mounting -> GEM did not start properly: cards enabled 0,  empty",  
20240526-170105,  ,  194: Luca-GEM",  afternoon,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  11.5,  on,  negative,  4,  11.5,  193: Luca back,  -,  -,  -,  53,  20240526-141034,  20240526-170105,  10,  10,  -,  warning,  warning,  deltathr = 10,  deltathr = 10
20240526-171211,  ,  194: Luca-GEM",  afternoon,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  11.5,  on,  negative,  4,  11.5,  193: Luca back,  -,  -,  54,  54,  20240526-141034,  20240526-171211,  10,  10,  -,  warning,  warning,  deltathr = 15 | Vbias = 54 & alcor init,  deltathr = 15 | Vbias = 54 & alcor init
20240526-171823,  ,  194: Luca-GEM",  afternoon,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  11.5,  on,  negative,  4,  11.5,  193: Luca back,  -,  -,  -,  54,  20240526-141034,  20240526-171823,  10,  10,  -,  warning,  warning,  "no alcor init,   to check if kc705-199 fifo 11 is stuck"
20240526-172525,  ,  194: Luca-GEM",  afternoon,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  11.5,  on,  negative,  4,  11.5,  193: Luca back,  -,  -,  -,  54,  20240526-141034,  20240526-172525,  10,  10,  -,  warning,  warning,  "kc705-199 init,   No change
20240526-173411,  ,  194: Luca-GEM",  afternoon,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  11.5,  on,  negative,  4,  193: Luca AND,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-173411,  10,  10,  -,  warning,  warning,  Changed trigger in Luca AND,  Changed trigger in Luca AND
20240526-202228,  ,  evening,  evening,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  11.5,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-202228,  10,  10,  -,  good,  good,  "done serious dRICH alignment,   which was not "
20240526-143658,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  "aerogel 1.02,  11.5,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-143658,  20240526-202228,  10,  -,  -,  good,  -,  "done serious dRICH alignment
20240526-204847,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  75,  75,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-204847,  50,  50,  -,  good,  good,  -,  "done serious dRICH alignment
20240526-212506,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  75,  75,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-212506,  50,  50,  -,  good,  good,  "spill gate back to originale 1.1 s delta,   500 ms width | START OF MIRROR SCAN"
20240526-214648,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  70,  70,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-214648,  50,  50,  -,  good,  good,  -,  "spill gate back to originale 1.1 s delta
20240526-220929,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  65,  65,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-220929,  10,  10,  -,  good,  good,  -,  "spill gate back to originale 1.1 s delta
20240526-221557,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  60,  60,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-221557,  10,  10,  -,  good,  good,  -,  "spill gate back to originale 1.1 s delta
20240526-222205,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  80,  80,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-222205,  10,  10,  -,  good,  good,  -,  "spill gate back to originale 1.1 s delta
20240526-222751,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  85,  85,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-222751,  10,  10,  -,  good,  good,  -,  "spill gate back to originale 1.1 s delta
